orderID,productID,unitPrice,quantity,discount
11061,60,34,15,0
11062,53,32.8,10,0.2
11062,70,15,12,0.2
11063,34,14,30,0
11063,40,18.4,40,0.1
11063,41,9.65,30,0.1
11064,17,39,77,0.1
11064,41,9.65,12,0
11064,53,32.8,25,0.1
11064,55,24,4,0.1
11064,68,12.5,55,0
11065,30,25.89,4,0.25
11065,54,7.45,20,0.25
11066,16,17.45,3,0
11066,19,9.2,42,0
11066,34,14,35,0
11067,41,9.65,9,0
11068,28,45.6,8,0.15
11068,43,46,36,0.15
11068,77,13,28,0.15
11069,39,18,20,0
11070,1,18,40,0.15
11070,2,19,20,0.15
11070,16,17.45,30,0.15
11070,31,12.5,20,0
11071,7,30,15,0.05
11071,13,6,10,0.05
11072,2,19,8,0
11072,41,9.65,40,0
11072,50,16.25,22,0
11072,64,33.25,130,0
11073,11,21,10,0
11073,24,4.5,20,0
11074,16,17.45,14,0.05
11075,2,19,10,0.15
11075,46,12,30,0.15
11075,76,18,2,0.15
11076,6,25,20,0.25
11076,14,23.25,20,0.25
11076,19,9.2,10,0.25
11077,2,19,24,0.2
11077,3,10,4,0
11077,4,22,1,0
11077,6,25,1,0.02
11077,7,30,1,0.05
11077,8,40,2,0.1
11077,10,31,1,0
11077,12,38,2,0.05
11077,13,6,4,0
11077,14,23.25,1,0.03
11077,16,17.45,2,0.03
11077,20,81,1,0.04
11077,23,9,2,0
11077,32,32,1,0
11077,39,18,2,0.05
11077,41,9.65,3,0
11077,46,12,3,0.02
11077,52,7,2,0
11077,55,24,2,0
11077,60,34,2,0.06
11077,64,33.25,2,0.03
11077,66,17,1,0
11077,73,15,2,0.01
11077,75,7.75,4,0
11077,77,13,2,0
